,item_category_name,item_category_id
0,PC - Гарнитуры/Наушники,0
1,Аксессуары - PS2,1
2,Аксессуары - PS3,2
3,Аксессуары - PS4,3
4,Аксессуары - PSP,4
5,Аксессуары - PSVita,5
6,Аксессуары - XBOX 360,6
7,Аксессуары - XBOX ONE,7
8,Билеты (Цифра),8
9,Доставка товара,9
10,Игровые консоли - PS2,10
11,Игровые консоли - PS3,11
12,Игровые консоли - PS4,12
13,Игровые консоли - PSP,13
14,Игровые консоли - PSVita,14
15,Игровые консоли - XBOX 360,15
16,Игровые консоли - XBOX ONE,16
17,Игровые консоли - Прочие,17
18,Игры - PS2,18
19,Игры - PS3,19
20,Игры - PS4,20
21,Игры - PSP,21
22,Игры - PSVita,22
23,Игры - XBOX 360,23
24,Игры - XBOX ONE,24
25,Игры - Аксессуары для игр,25
26,Игры Android - Цифра,26
27,Игры MAC - Цифра,27
28,Игры PC - Дополнительные издания,28
29,Игры PC - Коллекционные издания,29
30,Игры PC - Стандартные издания,30
31,Игры PC - Цифра,31
32,"Карты оплаты (Кино, Музыка, Игры)",32
33,Карты оплаты - Live!,33
34,Карты оплаты - Live! (Цифра),34
35,Карты оплаты - PSN,35
36,Карты оплаты - Windows (Цифра),36
37,Кино - Blu-Ray,37
38,Кино - Blu-Ray 3D,38
39,Кино - Blu-Ray 4K,39
40,Кино - DVD,40
41,Кино - Коллекционное,41
42,"Книги - Артбуки, энциклопедии",42
43,Книги - Аудиокниги,43
44,Книги - Аудиокниги (Цифра),44
45,Книги - Аудиокниги 1С,45
46,Книги - Бизнес литература,46
47,"Книги - Комиксы, манга",47
48,Книги - Компьютерная литература,48
49,Книги - Методические материалы 1С,49
50,Книги - Открытки,50
51,Книги - Познавательная литература,51
52,Книги - Путеводители,52
53,Книги - Художественная литература,53
54,Книги - Цифра,54
55,Музыка - CD локального производства,55
56,Музыка - CD фирменного производства,56
57,Музыка - MP3,57
58,Музыка - Винил,58
59,Музыка - Музыкальное видео,59
60,Музыка - Подарочные издания,60
61,Подарки - Атрибутика,61
62,"Подарки - Гаджеты, роботы, спорт",62
63,Подарки - Мягкие игрушки,63
64,Подарки - Настольные игры,64
65,Подарки - Настольные игры (компактные),65
66,"Подарки - Открытки, наклейки",66
67,Подарки - Развитие,67
68,"Подарки - Сертификаты, услуги",68
69,Подарки - Сувениры,69
70,Подарки - Сувениры (в навеску),70
71,"Подарки - Сумки, Альбомы, Коврики д/мыши",71
72,Подарки - Фигурки,72
73,Программы - 1С:Предприятие 8,73
74,Программы - MAC (Цифра),74
75,Программы - Для дома и офиса,75
76,Программы - Для дома и офиса (Цифра),76
77,Программы - Обучающие,77
78,Программы - Обучающие (Цифра),78
79,Служебные,79
80,Служебные - Билеты,80
81,Чистые носители (шпиль),81
82,Чистые носители (штучные),82
83,Элементы питания,83
